simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
145.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_024,targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,169.91,targeted_vehicle_024,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=58.5 remaining_to_hold_m=46.0 speed_mps=2.60 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.40.
145.40,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_024,targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,174.53,targeted_vehicle_024,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_profile_no_brake entry_distance_m=57.5 remaining_to_hold_m=45.0 speed_mps=2.19 profile_speed_mps=2.00.
145.90,,,,SLOW_NEAR_ENTRY,targeted_vehicle_024,targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,targeted_vehicle_024;targeted_vehicle_025,170.04,targeted_vehicle_024,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=56.5 remaining_to_hold_m=44.0 speed_mps=2.60 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.40.
146.30,HIGH,targeted_vehicle_023,targeted_vehicle_024,RELEASE_NEXT_VEHICLE,targeted_vehicle_024,targeted_vehicle_024,targeted_vehicle_024,targeted_vehicle_025,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
146.30,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_025,targeted_vehicle_025,targeted_vehicle_025,targeted_vehicle_025,174.51,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
146.60,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_025,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_025,targeted_vehicle_025;targeted_vehicle_026,155.10,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
147.60,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_025,targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026,155.10,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=97.8.
148.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_025,targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026,155.10,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=83.9 remaining_to_hold_m=71.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
148.80,,,,SLOW_NEAR_ENTRY,targeted_vehicle_025,targeted_vehicle_027,targeted_vehicle_025;targeted_vehicle_027;targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026;targeted_vehicle_027,154.94,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=73.9 remaining_to_hold_m=61.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
149.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_025,targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_027;targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026;targeted_vehicle_027,158.25,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=72.7 remaining_to_hold_m=60.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
149.80,,,,SLOW_NEAR_ENTRY,targeted_vehicle_025,targeted_vehicle_027,targeted_vehicle_025;targeted_vehicle_027;targeted_vehicle_026,targeted_vehicle_025;targeted_vehicle_026;targeted_vehicle_027,157.91,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=62.7 remaining_to_hold_m=50.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
152.70,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_025,targeted_vehicle_025,targeted_vehicle_025,targeted_vehicle_026;targeted_vehicle_027,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
152.70,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
152.70,HIGH,targeted_vehicle_026,targeted_vehicle_027,SLOW_NEAR_ENTRY,targeted_vehicle_026,targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=26.9 remaining_to_hold_m=14.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.54 duration_s=1.82.
153.70,HIGH,targeted_vehicle_026,targeted_vehicle_027,SLOW_NEAR_ENTRY,targeted_vehicle_026,targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=16.5 remaining_to_hold_m=4.0 speed_mps=7.69 target_speed_mps=2.00 decel_mps2=6.96 duration_s=0.82.
154.40,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,156.40,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
154.40,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
154.50,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,156.40,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
154.50,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
154.60,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,156.40,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
154.60,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
154.70,HIGH,targeted_vehicle_026,targeted_vehicle_027,SLOW_NEAR_ENTRY,targeted_vehicle_026,targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.60,targeted_vehicle_026,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.0 hold_distance_m=12.5 speed_mps=2.15 target_speed_mps=0.30 duration_s=0.40.
155.40,HIGH,targeted_vehicle_026,targeted_vehicle_027,WAIT_AT_STOP_ZONE,targeted_vehicle_026,targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,targeted_vehicle_026;targeted_vehicle_027,156.60,targeted_vehicle_026,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.2 hold_distance_m=12.5 speed_mps=0.69.
156.30,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_026,targeted_vehicle_027,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
156.30,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_027,targeted_vehicle_027,targeted_vehicle_027,targeted_vehicle_027,156.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
159.90,HIGH,targeted_vehicle_026,targeted_vehicle_027,RELEASE_NEXT_VEHICLE,targeted_vehicle_027,targeted_vehicle_027,targeted_vehicle_027,,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
160.90,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,169.40,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
163.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_028,targeted_vehicle_029,targeted_vehicle_029;targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029,169.14,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=73.9 remaining_to_hold_m=61.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
166.60,HIGH,targeted_vehicle_028,targeted_vehicle_029,SLOW_NEAR_ENTRY,targeted_vehicle_028,targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,170.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=28.2 remaining_to_hold_m=15.7 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.02 duration_s=1.98.
167.60,HIGH,targeted_vehicle_028,targeted_vehicle_029,SLOW_NEAR_ENTRY,targeted_vehicle_028,targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,170.60,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=17.5 remaining_to_hold_m=5.0 speed_mps=8.16 target_speed_mps=2.00 decel_mps2=6.32 duration_s=0.98.
168.00,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029,169.70,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
168.00,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,169.70,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
168.10,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029,169.70,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
168.10,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029,169.70,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
168.20,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,169.70,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
168.20,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,169.70,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
168.20,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_028,targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,176.70,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
168.60,HIGH,targeted_vehicle_028,targeted_vehicle_029,SLOW_NEAR_ENTRY,targeted_vehicle_028,targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,170.60,targeted_vehicle_028,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.4 hold_distance_m=12.5 speed_mps=2.87 target_speed_mps=0.30 duration_s=0.40.
169.20,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_028,targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,176.70,targeted_vehicle_028,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=97.8.
169.50,HIGH,targeted_vehicle_028,targeted_vehicle_029,WAIT_AT_STOP_ZONE,targeted_vehicle_028,targeted_vehicle_029,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_028;targeted_vehicle_029;targeted_vehicle_030,170.60,targeted_vehicle_028,0.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: wait_near_junction_entry entry_distance_m=11.2 hold_distance_m=12.5 speed_mps=0.65.
169.90,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_028,targeted_vehicle_029;targeted_vehicle_030,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
169.90,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_029,targeted_vehicle_029,targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,170.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
170.20,,,,SLOW_NEAR_ENTRY,targeted_vehicle_029,targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,176.70,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=83.9 remaining_to_hold_m=71.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
171.20,,,,SLOW_NEAR_ENTRY,targeted_vehicle_029,targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,179.85,targeted_vehicle_029,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=72.7 remaining_to_hold_m=60.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
172.20,,,,SLOW_NEAR_ENTRY,targeted_vehicle_029,targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,188.03,targeted_vehicle_029,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=66.1 remaining_to_hold_m=53.6 speed_mps=4.57 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.51.
173.20,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_029,targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,targeted_vehicle_029;targeted_vehicle_030,205.28,targeted_vehicle_029,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_profile_no_brake entry_distance_m=63.2 remaining_to_hold_m=50.7 speed_mps=2.17 profile_speed_mps=2.00.
173.50,HIGH,targeted_vehicle_028,targeted_vehicle_029,RELEASE_NEXT_VEHICLE,targeted_vehicle_029,targeted_vehicle_029,targeted_vehicle_029,targeted_vehicle_030,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
173.50,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_030,targeted_vehicle_030,targeted_vehicle_030,targeted_vehicle_030,199.97,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
176.10,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_030,targeted_vehicle_031,targeted_vehicle_030;targeted_vehicle_031,targeted_vehicle_030;targeted_vehicle_031,184.60,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
177.10,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_030,targeted_vehicle_031,targeted_vehicle_030;targeted_vehicle_031,targeted_vehicle_030;targeted_vehicle_031,184.60,,,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=97.8.
181.80,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_030,targeted_vehicle_030,targeted_vehicle_030,targeted_vehicle_031;targeted_vehicle_032,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
181.80,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,184.90,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
181.80,HIGH,targeted_vehicle_031,targeted_vehicle_032,SLOW_NEAR_ENTRY,targeted_vehicle_031,targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,185.80,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=28.1 remaining_to_hold_m=15.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.06 duration_s=1.96.
182.80,HIGH,targeted_vehicle_031,targeted_vehicle_032,SLOW_NEAR_ENTRY,targeted_vehicle_031,targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,185.80,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=17.4 remaining_to_hold_m=4.9 speed_mps=8.12 target_speed_mps=2.00 decel_mps2=6.37 duration_s=0.96.
183.20,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,184.90,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
183.20,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,184.90,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
183.30,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,184.90,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
183.30,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,184.90,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
183.40,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,184.90,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
183.40,HIGH,targeted_vehicle_031,targeted_vehicle_032,RELEASE_NEXT_VEHICLE,targeted_vehicle_031,targeted_vehicle_031,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,184.90,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
183.80,HIGH,targeted_vehicle_031,targeted_vehicle_032,SLOW_NEAR_ENTRY,targeted_vehicle_031,targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,targeted_vehicle_031;targeted_vehicle_032,185.80,targeted_vehicle_031,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.3 hold_distance_m=12.5 speed_mps=2.79 target_speed_mps=0.30 duration_s=0.40.
